id_pais;pais;capital;sigla;id_continente;id_puntaje;id_idioma;id_gobierno;id_moneda;id_region;id_poblacion;id_educacion;id_trabajo;id_ipc;id_pbi;id_sociedad
NULL;KENIA;NAIROBI;KEN;1;67;82;13;10;8;67;67;67;67;67;67
NULL;KIRGUISTAN;BISKEK;KGZ;3;68;53;12;141;6;68;68;68;68;68;68
NULL;LAOS;VIENTIAN;LAO;3;69;54;2;81;9;69;69;69;69;69;69
NULL;LETONIA;RIGA;LVA;4;70;55;12;63;2;70;70;70;70;70;70
NULL;LIBANO;BEIRUT;LBN;3;71;5;12;95;4;71;71;71;71;71;71
NULL;LIBERIA;MONROVIA;LBR;1;72;45;13;48;8;72;72;72;72;72;72
NULL;LITUANIA;VILNA;LTU;4;73;56;14;57;2;73;73;73;73;73;73
NULL;LUXEMBURGO;CIUDAD DE LUXEMBURGO;LUX;4;74;3;5;57;3;74;74;74;74;74;74
NULL;MACEDONIA DEL NORTE;SKOPIE;MKD;4;75;57;12;29;2;75;75;75;75;75;75
NULL;MADAGASCAR;ANTANANARIVO;MDG;1;76;31;14;2;8;76;76;76;76;76;76
NULL;MALASIA;KUALA LUMPUR;MYS;3;77;58;6;128;9;77;77;77;77;77;77
NULL;MALAUI;LILONGUE;MWI;1;78;45;13;82;8;78;78;78;78;78;78
NULL;MALI;BAMAKO;MLI;1;79;31;14;72;8;79;79;79;79;79;79
NULL;MALTA;LA VALETA;MLT;4;80;60;12;57;3;80;80;80;80;80;80
NULL;MARRUECOS;RABAT;MAR;1;81;5;5;33;4;81;81;81;81;81;81
NULL;MAURICIO;PORT LOUIS;MUS;1;82;45;12;135;8;82;82;82;82;82;82
NULL;MAURITANIA;NUAKCHOT;MRT;1;83;5;11;147;8;83;83;83;83;83;83
NULL;MEXICO;CIUDAD DE MEXICO;MEX;2;84;25;8;117;5;84;84;84;84;84;84
NULL;MOLDAVIA;CHISINAU;MDA;4;85;73;12;91;6;85;85;85;85;85;85
NULL;MONGOLIA;ULAN BATOR;MNG;3;86;63;14;146;10;86;86;86;86;86;86
NULL;MONTENEGRO;PODGORICA;MNE;4;87;64;12;57;2;87;87;87;87;87;87
NULL;MOZAMBIQUE;MAPUTO;MOZ;1;88;72;14;106;8;88;88;88;88;88;88
NULL;NAMIBIA;WINDHOEK;NAM;1;89;45;14;49;8;89;89;89;89;89;89
NULL;NEPAL;KATMANDU;NPL;3;90;67;12;136;1;90;90;90;90;90;90
NULL;NICARAGUA;MANAGUA;NIC;2;91;25;13;15;5;91;91;91;91;91;91
NULL;NIGER;NIAMEY;NER;1;92;31;14;72;8;92;92;92;92;92;92
NULL;NIGERIA;ABUYA;NGA;1;93;45;13;109;8;93;93;93;93;93;93
NULL;NORUEGA;OSLO;NOR;4;94;68;7;20;3;94;94;94;94;94;94
NULL;NUEVA ZELANDA;WELLINGTON;NZL;5;95;45;5;50;7;95;95;95;95;95;95
NULL;PAISES BAJOS;AMSTERDAM;NLD;4;96;66;7;64;3;96;96;96;96;96;96
NULL;PAKISTAN;ISLAMABAD;PAK;3;97;88;9;132;1;97;97;97;97;97;97
NULL;PALESTINA;RAMALA;PSE;3;98;5;14;96;4;98;98;98;98;98;98
NULL;PANAMA;CIUDAD DE PANAMA;PAN;2;99;25;13;35;5;99;99;99;99;99;99
NULL;PARAGUAY;ASUNCION;PRY;2;100;40;13;78;5;100;100;100;100;100;100
NULL;PERU;LIMA;PER;2;101;25;13;140;5;101;101;101;101;101;101
NULL;POLONIA;VARSOVIA;POL;4;102;71;12;153;2;102;102;102;102;102;102
NULL;PORTUGAL;LISBOA;PRT;4;103;72;14;66;3;103;103;103;103;103;103
NULL;REINO UNIDO;LONDRES;GBR;4;104;45;5;94;3;104;104;104;104;104;104
NULL;REPUBLICA CHECA;PRAGA;CZE;4;105;15;12;16;2;105;105;105;105;105;105
NULL;REPUBLICA DEL CONGO;BRAZZAVILLE;COG;1;106;31;14;70;8;106;106;106;106;106;106
NULL;REPUBLICA DEMOCRATICA DEL CONGO;KINSASA;COD;1;107;31;14;70;8;107;107;107;107;107;107
NULL;REPUBLICA DOMINICANA;SANTO DOMINGO;DOM;2;108;25;13;115;5;108;108;108;108;108;108
NULL;RUMANIA;BUCAREST;ROU;4;109;73;14;90;2;109;109;109;109;109;109
NULL;RUSIA;MOSCU;RUS;4;110;74;14;130;6;110;110;110;110;110;110
