id_pbi;pbi_per_capita
NULL;7324
NULL;9567
NULL;10879
NULL;10715
NULL;93
NULL;9959
NULL;9615
NULL;10821
NULL;10899
NULL;8685
NULL;10776
NULL;10844
NULL;8103
NULL;8404
NULL;8985
NULL;9616
NULL;9629
NULL;9582
NULL;10087
NULL;7667
NULL;8385
NULL;8217
NULL;10773
NULL;7261
NULL;10114
NULL;9738
NULL;10611
NULL;9584
NULL;8075
NULL;10693
NULL;8576
NULL;9952
NULL;10341
NULL;10962
NULL;927
NULL;9367
NULL;9089
NULL;11145
NULL;10353
NULL;10588
NULL;1054
NULL;11048
NULL;10541
NULL;7739
NULL;8979
NULL;10792
NULL;10701
NULL;9537
NULL;7648
NULL;9646
NULL;8596
NULL;10288
NULL;9116
NULL;8635
NULL;10419
NULL;8759
NULL;9385
NULL;9098
NULL;961
NULL;10896
NULL;10639
NULL;10634
NULL;9165
NULL;10616
NULL;913
NULL;10166
NULL;8458
NULL;8486
NULL;8962
NULL;1037
NULL;9478
NULL;7277
NULL;10568
NULL;1166
NULL;9703
NULL;729
NULL;10169
NULL;7302
NULL;7655
NULL;10661
NULL;8973
NULL;9957
NULL;8591
NULL;985
NULL;9499
NULL;9372
NULL;9813
NULL;7116
NULL;9121
NULL;8256
NULL;8618
NULL;7091
NULL;8496
NULL;11088
NULL;10662
NULL;10942
NULL;854
NULL;8716
NULL;10305
NULL;951
NULL;9402
NULL;10453
NULL;10429
NULL;10704
NULL;10611
NULL;8095
NULL;7007
NULL;9811
NULL;10339
NULL;1021
NULL;8155
NULL;9854
NULL;7394
NULL;11571
NULL;9491
NULL;9478
NULL;10883
NULL;11164
NULL;9751
NULL;7857
NULL;8237
NULL;7673
NULL;9244
NULL;10307
NULL;9314
NULL;7716
NULL;10037
NULL;8948
NULL;5527
NULL;9287
NULL;8074
NULL;7641
