id_poblacion;habitantes;habitantes_mujeres;habitantes_hombres;tasa_natalidad;tasa_fertilidad;esperanza_de_vida_m;esperanza_de_vida_h;exp_vida_buena_salud
NULL;8670300;4367701;4302599;10;152;86;82;72
NULL;71601104;36807094;34794010;1034;153;84;75;68
NULL;63588334;32170681;31417653;367;489;69;64;59
NULL;9750064;4843921;4906143;3076;359;70;66;62
NULL;8644829;4299551;4345278;3311;432;62;60;57
NULL;12262945;6205901;6057044;1756;22;79;72;67
NULL;83614362;41698377;41915985;1603;207;81;76;68
NULL;43792855;23524526;20268329;87;13;74;64;64
NULL;45853778;23153140;22700638;3814;496;65;61;58
NULL;3426260;1766768;1659492;1386;197;72;69;67
NULL;34915099;17446107;17468992;233;242;73;68;65
NULL;28199867;14243056;13956811;1788;227;76;67;64
NULL;97468028;49331842;48136186;1675;205;80;71;65
NULL;19473125;9864121;9609004;3619;463;65;60;55
NULL;15993524;8449834;7543690;3068;362;64;58;54
