id_region;region
NULL;Asia del Sur
NULL;Europa central y oriental
NULL;Europa Oriental
NULL;Oriente Medio y África del Norte
NULL;América Latina y el Caribe
NULL;Comunidad de Estados Independientes
NULL;Norteamérica y ANZ
NULL;Africa Sub-sahara
NULL;Sudeste de Asia
NULL;Este de Asia
