id_puntaje;puntaje;margenes_de_error;puntaje_max;puntaje_min;aporte_pbi_per_capita;aporte_apoyo_social;aporte_exp_vida_buena_salud;aporte_libertad_en_decisiones;aporte_generosidad;aporte_percepcion_corrupcion;dystopia_sumado_a_valor_residual
NULL;5738;58;5851;5625;1428;1427;392;678;148;62;1604
NULL;5526;58;564;5412;139;1153;499;549;73;27;1835
NULL;626;42;6343;6177;1767;1474;477;511;12;139;1772
NULL;5968;55;6076;586;1758;1356;537;693;31;37;1556
NULL;6796;42;6877;6714;1857;1366;511;626;272;34;1822
NULL;6845;44;6931;6759;1823;1544;477;693;158;5;2099
NULL;5267;88;544;5094;921;665;145;464;134;136;2802
NULL;3207;95;3394;302;531;784;105;375;183;68;1162
NULL;5569;73;5712;5426;1536;1227;351;623;83;195;1553
NULL;6589;52;669;6488;1726;128;423;631;44;0;2485
NULL;5661;37;5734;5588;168;1383;366;449;12;91;1572
NULL;4855;65;4983;4727;943;727;231;519;142;6;2234
NULL;6144;79;6299;5988;1552;1343;424;617;246;81;1881
NULL;3138;82;3299;2976;67;54;92;371;193;51;1221
NULL;6587;68;672;6454;2168;1354;607;66;17;561;1067
NULL;4442;83;4603;428;1422;1224;426;539;12;86;625
NULL;5275;73;5417;5132;1417;1428;149;464;9;19;1708
NULL;7395;37;7468;7322;1921;151;562;754;225;52;1903
NULL;724;43;7324;7156;2022;1463;582;678;151;475;187
NULL;5843;64;5969;5717;1515;1344;461;624;291;13;1594
NULL;3694;75;384;3547;836;787;214;607;234;269;747
NULL;533;62;5452;5207;972;1248;291;599;104;292;1823
NULL;4137;77;4289;3986;77;642;161;367;149;136;1913
NULL;4497;53;4601;4393;1333;981;422;259;22;16;1463
NULL;4614;83;4777;445;1714;1148;467;125;95;96;969
NULL;5071;59;5187;4956;1358;1354;355;551;265;16;1172
NULL;4432;89;4607;4258;785;1144;201;425;197;51;1628
NULL;6494;46;6583;6404;1617;1445;435;683;102;254;1958
NULL;6014;59;613;5899;1227;1347;375;74;26;208;1856
NULL;5211;64;5336;5085;0;1257;341;369;205;84;2955
NULL;5763;52;5865;5662;1349;1212;381;741;134;122;1824
NULL;3982;94;4167;3797;914;89;95;545;189;8;127
NULL;3204;61;3323;3084;758;881;69;363;112;117;905
